"project_id","project_name","start_date","end_date"
1,"Alpha","2024-01-21","2025-03-01"
2,"Beta","2023-01-03","2024-07-27"
3,"Gamma","2023-01-18","2024-07-26"
4,"Delta","2021-07-18","2025-03-29"
5,"Epsilon","2021-02-23","2023-07-15"
6,"Zeta","2023-11-06","2025-04-11"
7,"Eta","2022-10-13","2023-11-30"
8,"Theta","2022-03-19","2024-11-21"
9,"Iota","2021-07-06","2023-12-11"
10,"Kappa","2024-01-10","2025-05-19"
11,"Lambda","2022-01-22","2024-10-20"
12,"Mu","2021-06-23","2023-10-17"
13,"Nu","2021-08-28","2023-12-08"
14,"Xi","2021-04-14","2023-07-01"
15,"Omicron","2022-12-30","2024-07-09"
16,"Pi","2023-01-19","2025-04-03"
17,"Rho","2024-04-18","2025-05-25"
18,"Sigma","2022-03-23","2025-01-18"
19,"Tau","2021-07-10","2024-07-13"
20,"Upsilon","2022-03-11","2025-03-11"
21,"Phi","2021-12-07","2025-02-02"
22,"Chi","2022-08-13","2023-11-14"
23,"Psi","2023-03-17","2024-11-13"
24,"Omega","2022-07-10","2024-08-14"
25,"Nova","2023-09-18","2024-07-30"
26,"Fusion","2023-08-28","2024-07-01"
27,"Quantum","2023-07-10","2024-12-15"
28,"Horizon","2024-02-10","2024-12-08"
29,"Eclipse","2024-01-28","2025-03-12"
30,"Aurora","2023-08-02","2025-01-06"
